,0
features.0,0.9479335195731633
features.1,0.9918234379536318
features.2,0.9600584452862502
features.3,0.968297843667887
features.4,0.9701561608364451
features.5,0.974968976272946
features.6,0.9748105178872628
features.7,0.9780985662200861
features.8,0.9858168112042867
features.9,0.9859179926693322
features.10,0.9859790804813205
features.11,0.9870187914989947
features.12,0.9901080199356481
features.13,0.9901501083263953
features.14,0.9911422656499106
features.15,0.9937269306423024
features.16,0.9937366598583091
features.17,0.9946700258054053
features.18,0.9971709681310009
